,architecture,dropoutrate,meantestAVGPREC,meantrainAVGPREC,meantestAUROC,stdtestAVGPREC,meanfittime
28,100,0.2,0.776,0.899,0.978,0.034,270.829
36,80,0.2,0.775,0.882,0.978,0.034,288.185
44,40,0.2,0.754,0.836,0.973,0.032,312.112
37,80,0.4,0.751,0.847,0.978,0.031,293.76
29,100,0.4,0.747,0.86,0.976,0.019,271.382
30,100,0.6,0.712,0.785,0.971,0.021,276.306
45,40,0.4,0.7,0.767,0.969,0.032,315.975
38,80,0.6,0.69,0.757,0.971,0.033,293.282
48,20,0.2,0.683,0.742,0.97,0.044,315.649
4,100-80-40,0.2,0.675,0.778,0.923,0.043,240.772
5,100-80-40,0.4,0.673,0.747,0.923,0.029,244.445
8,100-40,0.2,0.669,0.814,0.843,0.057,227.098
20,80-40-20,0.2,0.663,0.766,0.901,0.061,285.97
0,100-80,0.2,0.661,0.828,0.857,0.059,210.661
24,100-10,0.2,0.66,0.755,0.898,0.047,276.396
46,40,0.6,0.648,0.667,0.979,0.026,315.893
1,100-80,0.4,0.645,0.775,0.876,0.04,211.693
49,20,0.4,0.641,0.662,0.977,0.022,321.51
9,100-40,0.4,0.638,0.762,0.869,0.052,226.775
32,40-20,0.2,0.638,0.76,0.869,0.076,298.241
16,100-40-20,0.2,0.636,0.762,0.837,0.075,270.87
12,100-80-50-20,0.2,0.629,0.766,0.82,0.046,281.844
13,100-80-50-20,0.4,0.613,0.671,0.816,0.1,284.918
40,40-10,0.2,0.612,0.741,0.833,0.078,314.987
17,100-40-20,0.4,0.58,0.703,0.798,0.046,275.357
31,100,0.8,0.543,0.572,0.976,0.06,271.455
21,80-40-20,0.4,0.496,0.63,0.746,0.063,287.717
50,20,0.6,0.495,0.491,0.977,0.246,325.322
33,40-20,0.4,0.431,0.486,0.879,0.027,299.901
39,80,0.8,0.42,0.455,0.979,0.081,297.942
10,100-40,0.6,0.351,0.417,0.871,0.16,230.306
6,100-80-40,0.6,0.313,0.336,0.676,0.146,244.798
47,40,0.8,0.255,0.29,0.975,0.204,320.261
41,40-10,0.4,0.118,0.13,0.919,0.149,323.084
34,40-20,0.6,0.089,0.086,0.905,0.016,302.684
2,100-80,0.6,0.073,0.107,0.909,0.087,211.325
18,100-40-20,0.6,0.04,0.029,0.712,0.054,279.426
14,100-80-50-20,0.6,0.008,0.007,0.717,0.015,288.647
51,20,0.8,0.005,0.006,0.96,0.0,327.355
3,100-80,0.8,0.003,0.004,0.942,0.0,214.574
58,5,0.6,0.003,0.003,0.938,0.0,347.718
57,5,0.4,0.003,0.003,0.933,0.0,344.286
59,5,0.8,0.003,0.003,0.935,0.0,351.287
56,5,0.2,0.003,0.003,0.933,0.0,344.455
11,100-40,0.8,0.003,0.003,0.923,0.0,232.713
35,40-20,0.8,0.002,0.003,0.92,0.0,306.877
42,40-10,0.6,0.002,0.002,0.913,0.0,325.5
43,40-10,0.8,0.001,0.001,0.864,0.0,325.273
54,10-2,0.6,0.001,0.001,0.869,0.0,359.236
52,10-2,0.2,0.001,0.001,0.838,0.0,350.845
53,10-2,0.4,0.001,0.001,0.837,0.0,354.462
55,10-2,0.8,0.001,0.001,0.825,0.0,361.483
22,80-40-20,0.6,0.001,0.001,0.824,0.0,290.607
25,100-10,0.4,0.001,0.001,0.824,0.0,280.831
7,100-80-40,0.8,0.001,0.001,0.814,0.0,247.422
26,100-10,0.6,0.001,0.001,0.783,0.0,283.4
27,100-10,0.8,0.001,0.001,0.771,0.0,287.516
23,80-40-20,0.8,0.0,0.0,0.598,0.0,293.491
19,100-40-20,0.8,0.0,0.0,0.561,0.0,279.876
15,100-80-50-20,0.8,0.0,0.0,0.5,0.0,293.304
