meantestAVGPREC,stdtestAVGPREC,meantrainAVGPREC,meantestAUROC,parammodelnpratio,parammodelpositivesampleperc
0.748,0.043,0.999,0.972,5,1.5
0.744,0.038,0.999,0.976,3,1.5
0.743,0.044,0.999,0.975,5,1.0
0.742,0.045,0.999,0.974,10,0.5
0.737,0.047,1.0,0.973,10,1.0
0.737,0.035,1.0,0.974,15,0.5
0.737,0.031,0.999,0.975,5,0.5
0.736,0.039,0.998,0.973,15,1.5
0.735,0.054,0.999,0.974,3,1.0
0.734,0.049,0.999,0.969,10,1.5
0.729,0.053,0.998,0.976,3,0.5
0.728,0.047,0.999,0.972,15,1.0
0.669,0.075,0.957,0.974,1,1.0
0.662,0.104,0.973,0.975,1,1.5
0.499,0.064,0.832,0.967,1,0.5
